Event_date_dt,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt,CAMEO_case,case_clean,points
2013-06-04,20076514,2013-06-04,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27168524,4,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-04,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20079679,2013-06-05,Activist (Turkey),"Human Rights IGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27160441,5,Deutsche Welle,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-05,20080071,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27161249,4,Xinhua News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081414,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,33623271,5,Le Monde,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081422,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military (Turkey),"Government,Military",Turkey,33624202,2,Le Figaro,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-05,20081456,2013-06-05,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military (Turkey),"Government,Military",Turkey,33625879,3,Le Figaro,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-05,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-06,20084765,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27156903,5,Xinhua News Agency,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-06,20085402,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27158270,2,The Nation (Thailand),Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-06,20085562,2013-06-06,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27159090,5,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-06,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087310,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27149782,6,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087820,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27150812,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-07,20087893,2013-06-07,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27150958,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-07,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-08,20090810,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27147644,4,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-08,20090869,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Recep Tayyip Erdoğan,"Executive Office,Sunni,Parties,Executive,Government,(National) Major Party,Elite,Ideological,Center Right,International Religious",Turkey,27147715,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-08,20091342,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27148507,1,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-08,20091343,2013-06-08,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27148507,4,Xinhua News Agency,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-08,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-09,20093256,2013-06-09,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27145723,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-09,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-10,20095292,2013-06-10,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27143759,4,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-10,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-10,20095323,2013-06-10,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27143839,4,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-10,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20100865,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27209284,4,Al Arabiya,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101043,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27211800,1,Associated Press Newswires,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101314,2013-06-11,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27212596,2,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101542,2013-06-11,Citizen (Turkey),"General Population / Civilian / Social,Social",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27212960,6,BBC Monitoring European,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-11,20101582,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213039,1,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101605,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213070,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101606,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213070,6,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101812,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213564,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20101880,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27213691,4,EFE News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20102120,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27214153,2,Dow Jones News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20102623,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27215225,4,Xinhua News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20102653,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27215308,2,Dow Jones Business News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-11,20102737,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27215465,5,Agence France-Presse,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-11,20102861,2013-06-11,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27215668,2,Reuters News,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-11,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20105901,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27208355,6,ARKA - News (Armenia),Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20105998,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27208581,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20105999,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27208581,6,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-12,20106008,2013-06-12,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Military Personnel - Special (Turkey),"Government,Military",Turkey,27208594,3,BBC Monitoring European,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-12,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
